2026-04-04 17:41:51 | INFO | step | price=67315.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:42:01 | INFO | step | price=67314.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:42:11 | INFO | step | price=67307.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:42:21 | INFO | step | price=67303.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:42:32 | INFO | step | price=67298.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:42:42 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:42:52 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:43:02 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:43:13 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:43:23 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:43:33 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:43:43 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:43:53 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:44:04 | INFO | step | price=67296.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:44:14 | INFO | step | price=67295.5 | size=100.0 | action=hold | pnl=+0.20%
2026-04-04 17:44:24 | INFO | step | price=67284.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:44:34 | INFO | step | price=67284.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:44:45 | INFO | step | price=67284.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:44:55 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:45:05 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:45:16 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:45:26 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:45:36 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:45:46 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:45:57 | INFO | step | price=67282.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:46:07 | INFO | step | price=67283.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:46:17 | INFO | step | price=67283.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:46:28 | INFO | step | price=67288.5 | size=100.0 | action=hold | pnl=+0.19%
2026-04-04 17:46:38 | INFO | step | price=67288.5 | size=100.0 | action=hold | pnl=+0.19%
2026-04-04 17:46:48 | INFO | step | price=67283.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:46:59 | INFO | step | price=67283.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:47:09 | INFO | step | price=67283.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:47:19 | INFO | step | price=67283.5 | size=100.0 | action=hold | pnl=+0.18%
2026-04-04 17:47:29 | INFO | step | price=67287.5 | size=100.0 | action=hold | pnl=+0.19%
